DateDt,anio,dia,Compra,Venta
2015-01-01,2015,1,533.31,545.53
2015-01-02,2015,2,533.31,545.53
2015-01-03,2015,3,533.27,545.65
2015-01-04,2015,4,533.27,545.65
2015-01-05,2015,5,533.27,545.65
2015-01-06,2015,6,533.05,545.51
2015-01-07,2015,7,532.82,545.28
2015-01-08,2015,8,533.1,545.4
2015-01-09,2015,9,533.07,545.4
2015-01-10,2015,10,533.17,545.5
2015-01-11,2015,11,533.17,545.5
2015-01-12,2015,12,533.17,545.5
2015-01-13,2015,13,533.2,545.4
2015-01-14,2015,14,533.09,545.36
2015-01-15,2015,15,530.64,543.13
2015-01-16,2015,16,530.1,542.41
2015-01-17,2015,17,530.04,542.29
2015-01-18,2015,18,530.04,542.29
2015-01-19,2015,19,530.04,542.29
2015-01-20,2015,20,530.15,542.2
2015-01-21,2015,21,530.08,542.1
2015-01-22,2015,22,530.07,542.11
2015-01-23,2015,23,530.1,542.23
2015-01-24,2015,24,529.91,542.06
2015-01-25,2015,25,529.91,542.06
2015-01-26,2015,26,529.91,542.06
2015-01-27,2015,27,529.98,542.08
2015-01-28,2015,28,529.86,542.09
2015-01-29,2015,29,529.87,542.08
2015-01-30,2015,30,530.53,542.64
2015-01-31,2015,31,530.85,543.08
2015-02-01,2015,1,530.85,543.08
2015-02-02,2015,2,530.85,543.08
2015-02-03,2015,3,530.98,543.16
2015-02-04,2015,4,530.85,543.09
2015-02-05,2015,5,531.58,543.75
2015-02-06,2015,6,532.48,544.64
2015-02-07,2015,7,532.59,544.74
2015-02-08,2015,8,532.59,544.74
2015-02-09,2015,9,532.59,544.74
2015-02-10,2015,10,532.71,544.72
2015-02-11,2015,11,532.6,544.68
2015-02-12,2015,12,532.63,544.65
2015-02-13,2015,13,531.33,543.34
2015-02-14,2015,14,531.14,543.26
2015-02-15,2015,15,531.14,543.26
2015-02-16,2015,16,531.14,543.26
2015-02-17,2015,17,530.86,542.86
2015-02-18,2015,18,530.76,542.81
2015-02-19,2015,19,530.46,542.41
2015-02-20,2015,20,530.27,542.25
2015-02-21,2015,21,529.97,541.96
2015-02-22,2015,22,529.97,541.96
2015-02-23,2015,23,529.97,541.96
2015-02-24,2015,24,529.31,541.14
2015-02-25,2015,25,528.84,540.78
2015-02-26,2015,26,528.72,540.66
2015-02-27,2015,27,528.64,540.59
2015-02-28,2015,28,528.69,540.58
2015-03-01,2015,1,528.69,540.58
2015-03-02,2015,2,528.69,540.58
2015-03-03,2015,3,527.91,539.61
2015-03-04,2015,4,527.78,539.52
2015-03-05,2015,5,528.64,540.47
2015-03-06,2015,6,528.75,540.53
2015-03-07,2015,7,528.68,540.53
2015-03-08,2015,8,528.68,540.53
2015-03-09,2015,9,528.68,540.53
2015-03-10,2015,10,528.76,540.54
2015-03-11,2015,11,528.63,540.52
2015-03-12,2015,12,528.39,540.31
2015-03-13,2015,13,527.56,539.46
2015-03-14,2015,14,526.87,538.8
2015-03-15,2015,15,526.87,538.8
2015-03-16,2015,16,526.87,538.8
2015-03-17,2015,17,526.92,538.73
2015-03-18,2015,18,526.67,538.51
2015-03-19,2015,19,526.7,538.54
2015-03-20,2015,20,526.48,538.4
